timestamp,question,pipeline,avg_ce_score,avg_kw_score,avg_answer_length
2026-04-10T00:28:44,How do I save topology and coordinate files in tleap?,LLM only,9.9856,8.3333,1264.3333
2026-04-10T00:28:45,How do I save topology and coordinate files in tleap?,ChatGPT Web manual,8.2676,7.0,1223.3333
2026-04-10T00:37:25,Why does pmemd.cuda report illegal memory access during minimization?,LLM + RAG,7.9388,7.0,686.6667
2026-04-10T00:38:02,Why does pmemd.cuda report illegal memory access during minimization?,LLM only,7.8942,7.0,1975.6667
2026-04-10T00:38:03,Why does pmemd.cuda report illegal memory access during minimization?,ChatGPT Web manual,7.7407,7.0,3395.6667
2026-04-10T00:45:10,pmemd.cuda stops with periodic box dimensions have changed too much during NPT equilibration  what usually causes this and how should it be fixed?,LLM + RAG,7.4483,16.0,980.3333
2026-04-10T00:45:54,pmemd.cuda stops with periodic box dimensions have changed too much during NPT equilibration  what usually causes this and how should it be fixed?,LLM only,5.9818,17.6667,2271.3333
2026-04-10T00:45:54,pmemd.cuda stops with periodic box dimensions have changed too much during NPT equilibration  what usually causes this and how should it be fixed?,ChatGPT Web manual,6.6311,18.0,3100.6667
2026-04-10T00:54:16,"Why does pdb4amber fail with a NumPy/ParmEd error on Ubuntu 24.04, and how can I fix it?",LLM + RAG,6.6995,13.0,1031.0
2026-04-10T00:54:58,"Why does pdb4amber fail with a NumPy/ParmEd error on Ubuntu 24.04, and how can I fix it?",LLM only,5.8102,14.3333,1864.0
2026-04-10T00:54:59,"Why does pdb4amber fail with a NumPy/ParmEd error on Ubuntu 24.04, and how can I fix it?",ChatGPT Web manual,6.4761,13.6667,2919.0
2026-04-10T01:05:32,How can I fix the SSL certificate error when downloading Miniconda during AmberTools25 installation?,LLM + RAG,8.8872,11.0,581.3333
2026-04-10T01:06:30,How can I fix the SSL certificate error when downloading Miniconda during AmberTools25 installation?,LLM only,7.066,9.6667,3012.6667
2026-04-10T01:06:30,How can I fix the SSL certificate error when downloading Miniconda during AmberTools25 installation?,ChatGPT Web manual,8.1508,11.3333,2209.0
2026-04-10T01:15:32,"What typically causes the error ""cudaMemcpy GpuBuffer::Download failed: an illegal memory access was encountered?",LLM + RAG,6.7116,11.0,428.0
2026-04-10T01:16:05,"What typically causes the error ""cudaMemcpy GpuBuffer::Download failed: an illegal memory access was encountered?",LLM only,8.6767,13.6667,1770.6667
2026-04-10T01:16:05,"What typically causes the error ""cudaMemcpy GpuBuffer::Download failed: an illegal memory access was encountered?",ChatGPT Web manual,4.6128,10.0,2114.0
2026-04-10T01:24:40,What does solvateBox require as input in tleap?,LLM + RAG,5.6091,3.3333,425.3333
2026-04-10T01:25:04,What does solvateBox require as input in tleap?,LLM only,7.8391,3.6667,893.3333
2026-04-10T01:25:04,What does solvateBox require as input in tleap?,ChatGPT Web manual,6.8692,3.6667,1477.6667
2026-04-10T01:32:59,"In the notebook will create embeddings, and it has a function to run for pdf. They will not be on database?",LLM + RAG,4.1005,13.3333,131.3333
2026-04-10T01:33:21,"In the notebook will create embeddings, and it has a function to run for pdf. They will not be on database?",LLM only,6.3652,16.3333,1209.0
2026-04-10T01:33:21,"In the notebook will create embeddings, and it has a function to run for pdf. They will not be on database?",ChatGPT Web manual,6.9386,15.6667,1293.6667
2026-04-10T01:41:04,The solution involves installing or re-installing the `parmed` package which is necessary for the amb2gro_top_gro.py program to run successfully.,LLM + RAG,8.2007,14.6667,128.3333
2026-04-10T01:41:34,The solution involves installing or re-installing the `parmed` package which is necessary for the amb2gro_top_gro.py program to run successfully.,LLM only,6.0796,12.6667,1396.6667
2026-04-10T01:41:35,The solution involves installing or re-installing the `parmed` package which is necessary for the amb2gro_top_gro.py program to run successfully.,ChatGPT Web manual,5.3718,11.3333,1185.0
2026-04-10T01:49:11,CpHMD with pmemd.cuda gives illegal memory access launching kernel kNLSkinTest when cpin has more than 12 titratable residues. How can I debug this?,LLM + RAG,2.3133,14.6667,698.0
2026-04-10T01:50:04,CpHMD with pmemd.cuda gives illegal memory access launching kernel kNLSkinTest when cpin has more than 12 titratable residues. How can I debug this?,LLM only,3.5905,18.6667,2699.0
2026-04-10T01:50:04,CpHMD with pmemd.cuda gives illegal memory access launching kernel kNLSkinTest when cpin has more than 12 titratable residues. How can I debug this?,ChatGPT Web manual,4.5394,21.3333,4982.3333
2026-04-10T01:58:05,CpHMD in Amber22: constantpH.F90 ignores my &CNSTPHE_LIMITS block in cpin and MAX_TITR_RES overflows. What can I try?,LLM + RAG,4.5178,8.3333,412.3333
2026-04-10T01:58:48,CpHMD in Amber22: constantpH.F90 ignores my &CNSTPHE_LIMITS block in cpin and MAX_TITR_RES overflows. What can I try?,LLM only,5.6847,11.3333,1987.0
2026-04-10T01:58:48,CpHMD in Amber22: constantpH.F90 ignores my &CNSTPHE_LIMITS block in cpin and MAX_TITR_RES overflows. What can I try?,ChatGPT Web manual,5.2459,16.0,3675.3333
2026-04-10T02:06:45,Amber22 build fails at pytraj: fatal error: longintrepr.h: No such file or directory (Python 3.11 via miniconda). How do I fix the build?,LLM + RAG,4.7721,14.3333,1805.0
2026-04-10T02:07:30,Amber22 build fails at pytraj: fatal error: longintrepr.h: No such file or directory (Python 3.11 via miniconda). How do I fix the build?,LLM only,2.4476,14.0,1864.0
2026-04-10T02:07:30,Amber22 build fails at pytraj: fatal error: longintrepr.h: No such file or directory (Python 3.11 via miniconda). How do I fix the build?,ChatGPT Web manual,6.361,18.3333,2946.3333
2026-04-10T02:16:11,"After a constant pH simulation, how can I get the charge of residues over time and visualize/analyze it?",LLM + RAG,9.5355,16.3333,662.6667
2026-04-10T02:17:10,"After a constant pH simulation, how can I get the charge of residues over time and visualize/analyze it?",LLM only,8.0495,16.0,3010.0
2026-04-10T02:17:10,"After a constant pH simulation, how can I get the charge of residues over time and visualize/analyze it?",ChatGPT Web manual,7.1861,18.0,6221.3333
2026-04-10T02:24:57,Best OS recommendation for installing Amber + CUDA on an RTX 3070 server: Rocky Linux vs Ubuntu? What setup is known to work?,LLM + RAG,8.5451,21.6667,1165.0
2026-04-10T02:25:55,Best OS recommendation for installing Amber + CUDA on an RTX 3070 server: Rocky Linux vs Ubuntu? What setup is known to work?,LLM only,6.7404,16.6667,2995.0
2026-04-10T02:25:55,Best OS recommendation for installing Amber + CUDA on an RTX 3070 server: Rocky Linux vs Ubuntu? What setup is known to work?,ChatGPT Web manual,6.5195,19.3333,3033.0
2026-04-10T02:34:44,GAMESS optimization exits without minimizing and SCF energy loops for 200 iterations. What should I try to resolve SCF convergence?,LLM + RAG,4.1958,9.6667,535.3333
2026-04-10T02:35:40,GAMESS optimization exits without minimizing and SCF energy loops for 200 iterations. What should I try to resolve SCF convergence?,LLM only,6.5461,14.3333,2801.3333
2026-04-10T02:35:40,GAMESS optimization exits without minimizing and SCF energy loops for 200 iterations. What should I try to resolve SCF convergence?,ChatGPT Web manual,4.8932,12.3333,3445.6667
2026-04-10T02:44:11,MMPBSA.py fails with CalcError: cpptraj failed with prmtop ... (protein-protein complex). Where do I look and what common setup issues cause this?,LLM + RAG,7.4065,13.6667,1564.3333
2026-04-10T02:45:10,MMPBSA.py fails with CalcError: cpptraj failed with prmtop ... (protein-protein complex). Where do I look and what common setup issues cause this?,LLM only,6.971,17.3333,2673.6667
2026-04-10T02:45:10,MMPBSA.py fails with CalcError: cpptraj failed with prmtop ... (protein-protein complex). Where do I look and what common setup issues cause this?,ChatGPT Web manual,6.2539,18.0,5599.3333
2026-04-10T02:52:27,Amber22 cmake says CUDA 11.7 and GCC are incompatible. Does Amber22 support CUDA 11.7 and what should I do?,LLM + RAG,8.715,9.3333,829.0
2026-04-10T02:53:04,Amber22 cmake says CUDA 11.7 and GCC are incompatible. Does Amber22 support CUDA 11.7 and what should I do?,LLM only,7.1847,9.0,1722.6667
2026-04-10T02:53:04,Amber22 cmake says CUDA 11.7 and GCC are incompatible. Does Amber22 support CUDA 11.7 and what should I do?,ChatGPT Web manual,2.2594,9.6667,2830.3333
